origin,destination,count
Andorra,Croatia,1898
United Arab Emirates,Oman,4138
Afghanistan,Bermuda,2588
Antigua and Barbuda,South Korea,71
Anguilla,Australia,1990
Albania,Virgin Islands (British),2300
Armenia,Moldova,4832
Angola,Ukraine,2153
Antarctica,Thailand,1128
Argentina,Jersey,216
American Samoa,Bangladesh,4040
Austria,Sint Maarten (Dutch part),1402
Australia,Solomon Islands,3267
Aruba,Italy,4213
Åland Islands,Jordan,2854
Azerbaijan,Fiji,4706
Bosnia and Herzegovina,Iraq,4683
Barbados,Sierra Leone,2546
Bangladesh,Philippines,234
Belgium,Romania,4601
Burkina Faso,Ethiopia,3586
Bulgaria,Faroe Islands,320
Bahrain,Cayman Islands,3259
Burundi,Estonia,4981
Benin,Tunisia,3097
Saint Barthélemy,Bhutan,2507
Bermuda,Mongolia,2521
Brunei Darussalam,Bahamas,4762
Bolivia,Suriname,2976
Caribbean Netherlands ,Bosnia and Herzegovina,3355
Brazil,United Arab Emirates,4992
Bahamas,Namibia,3763
Bhutan,Yemen,1024
Bouvet Island,Lesotho,2777
Botswana,Poland,2819
Belarus,Heard and McDonald Islands,266
Belize,Réunion,1960
Canada,Vatican,2460
Cocos (Keeling) Islands,Nigeria,3273
"Congo, Democratic Republic of",Bulgaria,3192
Central African Republic,Norway,4156
Congo,Western Sahara,1825
Switzerland,Nauru,113
Côte d'Ivoire,Cameroon,1994
Cook Islands,Falkland Islands,126
Chile,The Netherlands,2760
Cameroon,Sweden,1065
China,Central African Republic,902
Colombia,Finland,2744
Costa Rica,Botswana,4529
Cuba,Saint Helena,3267
Cape Verde,Tonga,2827
Curaçao,New Caledonia,3494
Christmas Island,French Guiana,1704
Cyprus,Bolivia,951
Czech Republic,Guadeloupe,2845
Germany,Hungary,348
Djibouti,Antigua and Barbuda,3212
Denmark,Papua New Guinea,2703
Dominica,Russian Federation,4412
Dominican Republic,Puerto Rico,4494
Algeria,Madagascar,2538
Ecuador,South Sudan,1062
Estonia,Lebanon,981
Egypt,Luxembourg,4561
Western Sahara,Mexico,280
Eritrea,Cuba,2127
Spain,Maldives,2222
Ethiopia,Marshall Islands,3337
Finland,Eritrea,4025
Fiji,Niger,3681
Falkland Islands,St. Pierre and Miquelon,3191
"Micronesia, Federated States of",Wallis and Futuna Islands,990
Faroe Islands,Somalia,2619
France,Haiti,2431
Gabon,New Zealand,4788
United Kingdom,Isle of Man,3033
Grenada,Greece,657
Georgia,Kiribati,2506
French Guiana,India,938
Guernsey,French Southern Territories,1541
Ghana,Samoa,4520
Gibraltar,Panama,4238
Greenland,Iran,155
Gambia,Vietnam,3461
Guinea,Uganda,3479
Guadeloupe,Belgium,3725
Equatorial Guinea,China,1071
Greece,North Korea,4023
South Georgia and the South Sandwich Islands,Norfolk Island,4571
Guatemala,Turkmenistan,2737
Guam,Kazakhstan,561
Guinea-Bissau,Cook Islands,4408
Guyana,Israel,1120
Hong Kong,Mozambique,868
Heard and McDonald Islands,Mayotte,4506
Honduras,Kuwait,4151
Croatia,Mauritius,1145
Haiti,Cyprus,1594
Hungary,Greenland,2476
Indonesia,Kyrgyzstan,68
Ireland,Martinique,230
Israel,Albania,2001
Isle of Man,Djibouti,944
India,Equatorial Guinea,4561
British Indian Ocean Territory,Curaçao,1905
Iraq,Canada,2434
Iran,Monaco,192
Iceland,Guinea-Bissau,3654
Italy,Belize,4613
Jersey,Paraguay,2198
Jamaica,Guatemala,1666
Jordan,Tanzania,1607
Japan,Peru,1308
Kenya,Malta,445
Kyrgyzstan,Portugal,294
Cambodia,Virgin Islands (U.S.),859
Kiribati,Ghana,773
Comoros,Singapore,4494
Saint Kitts and Nevis,Switzerland,4939
North Korea,Northern Mariana Islands,1540
South Korea,Serbia,3861
Kuwait,Guyana,140
Cayman Islands,Spain,57
Kazakhstan,Malawi,2916
Lao People's Democratic Republic,Côte d'Ivoire,3388
Lebanon,Cape Verde,3910
Saint Lucia,Costa Rica,3361
Liechtenstein,Caribbean Netherlands ,2058
Sri Lanka,Jamaica,439
Liberia,Congo,4825
Lesotho,Barbados,472
Lithuania,Dominican Republic,583
Luxembourg,"Micronesia, Federated States of",2904
Latvia,United Kingdom,248
Libya,Taiwan,2697
Morocco,Seychelles,320
Monaco,Anguilla,774
Moldova,Guam,340
Montenegro,San Marino,1857
Saint-Martin (France),United States Minor Outlying Islands,3561
Madagascar,Malaysia,1109
Marshall Islands,Turkey,1178
Macedonia,Morocco,481
Mali,Ireland,670
Myanmar,Syria,939
Mongolia,Kenya,4043
Macau,El Salvador,1164
Northern Mariana Islands,Nicaragua,2729
Martinique,Timor-Leste,806
Mauritania,Venezuela,3923
Montserrat,Hong Kong,1964
Malta,Åland Islands,3382
Mauritius,Rwanda,2779
Maldives,Saint Lucia,914
Malawi,Tuvalu,4826
Mexico,Antarctica,2800
Malaysia,Saint-Martin (France),1147
Mozambique,Algeria,1494
Namibia,Zimbabwe,2765
New Caledonia,Svalbard and Jan Mayen Islands,1238
Niger,Comoros,4084
Norfolk Island,France,1931
Nigeria,Trinidad and Tobago,2921
Nicaragua,Togo,3522
The Netherlands,Gabon,1525
Norway,Cambodia,2070
Nepal,Uruguay,776
Nauru,Zambia,1783
Niue,Myanmar,1730
New Zealand,"Congo, Democratic Republic of",2704
Oman,Saint Kitts and Nevis,4650
Panama,Tajikistan,3062
Peru,Lithuania,824
French Polynesia,Niue,78
Papua New Guinea,French Polynesia,1804
Philippines,Benin,2695
Pakistan,Bouvet Island,1578
Poland,Argentina,1511
St. Pierre and Miquelon,Mauritania,1516
Pitcairn,Chile,3432
Puerto Rico,Turks and Caicos Islands,3074
"Palestine, State of",Burkina Faso,2017
Portugal,Chad,395
Palau,Georgia,490
Paraguay,Macau,529
Qatar,Senegal,2790
Réunion,South Georgia and the South Sandwich Islands,3851
Romania,Guernsey,1803
Serbia,Swaziland,4335
Russian Federation,Azerbaijan,3276
Rwanda,Montserrat,3107
Saudi Arabia,Burundi,1859
Solomon Islands,Montenegro,3459
Seychelles,Belarus,4847
Sudan,Tokelau,1452
Sweden,Grenada,2511
Singapore,Angola,4088
Saint Helena,Germany,1800
Slovenia,Libya,260
Svalbard and Jan Mayen Islands,Cocos (Keeling) Islands,4934
