origin,destination,count
Afghanistan,Bermuda,4392329
Afghanistan,Ecuador,6345769
Afghanistan,Canada,7651380
Algeria,Madagascar,6696423
Algeria,Haiti,9255207
Algeria,Serbia,5682206
Algeria,Peru,8393830
Algeria,Qatar,6804685
American Samoa,Bangladesh,4746576
American Samoa,South Africa,8791850
American Samoa,Canada,5696544
American Samoa,Philippines,8875983
Angola,Ukraine,7840767
Anguilla,Australia,1479482
Antigua and Barbuda,South Korea,7474076
Argentina,United Kingdom,8165659
Argentina,Canada,5017242
Argentina,Mexico,3433139
Argentina,China,9622015
Argentina,Brazil,4080132
Armenia,Moldova,329
Armenia,South Africa,6478330
Armenia,Ghana,4034728
Armenia,Kazakhstan,8473004
Aruba,Italy,8546182
Aruba,Kazakhstan,2977102
Aruba,Canada,2705404
Aruba,Serbia,1582862
Australia,United Kingdom,554917
Australia,South Africa,3464066
Australia,United States,4746749
Australia,Canada,5306198
Australia,Argentina,9340678
Australia,Mexico,6533460
Australia,Denmark,5020212
Australia,United Kingdom,2622668
Australia,Guatemala,5531230
Australia,South Korea,4122428
Australia,Ireland,9166334
Australia,Spain,6849771
Australia,Sweden,7948637
Australia,Sri Lanka,747487
Australia,Serbia,5300975
Australia,Russian Federation,2751024
Bahamas,Namibia,2651957
Bahrain,Cayman Islands,5176442
Bangladesh,Philippines,4555949
Barbados,Sierra Leone,4878340
Barbados,Canada,675177
Barbados,Australia,3167206
Barbados,Mexico,3873675
Barbados,Libya,7610466
Barbados,Madagascar,5438504
Barbados,Norway,3458065
Belgium,Romania,3333816
Belgium,United Kingdom,9139951
Belgium,Sweden,7835314
Belgium,Mexico,5269335
Belgium,Burundi,4123143
Belgium,United Kingdom,8383760
Belgium,Australia,7300670
Belgium,United States,7219082
Belgium,Swaziland,5274917
Belgium,Norway,5125035
Benin,Norway,8510186
Benin,Mexico,6425265
Benin,Jamaica,1699731
Benin,Canada,1917076
Bermuda,Mongolia,7372395
Bermuda,United Kingdom,367311
Bermuda,United States,3400746
Bermuda,Madagascar,6441529
Bermuda,Canada,8115128
Bermuda,Algeria,9557383
Bhutan,Yemen,7872664
Bosnia and Herzegovina,Iraq,1111815
Botswana,Poland,4886033
Brazil,United Arab Emirates,1874418
Brunei Darussalam,Bahamas,5075455
Burundi,Estonia,4919632
Cameroon,Sweden,1954390
Canada,China,4226030
Canada,Italy,9590027
Canada,Spain,2647627
Canada,Thailand,9594732
Canada,Vietnam,8649521
Canada,Sweden,2418761
Canada,Russian Federation,5107882
Canada,Philippines,8547812
Canada,The Netherlands,4971111
Canada,United Kingdom,7885652
Cayman Islands,Spain,1231857
Central African Republic,Norway,5006491
Chad,Bahrain,9896791
Chile,The Netherlands,9083436
Chile,China,2046016
Chile,Canada,570587
Chile,Australia,5700238
Chile,Egypt,2056684
Chile,Lithuania,8299090
Chile,Nepal,2769623
China,Central African Republic,8784443
China,United Kingdom,1308798
Colombia,Finland,4358312
Congo,Western Sahara,234613
Costa Rica,Botswana,7231935
Cuba,United Kingdom,9630926
Cuba,Mexico,894877
Cuba,South Africa,9365912
Cuba,Brazil,5331066
Cuba,Canada,2692735
Cyprus,Bolivia,3405285
Denmark,Papua New Guinea,797368
Denmark,United Kingdom,3075526
Dominica,Russian Federation,5634926
Dominican Republic,Puerto Rico,6996948
Egypt,Luxembourg,603638
Egypt,United Kingdom,8254589
Equatorial Guinea,China,8552862
Estonia,Lebanon,9501363
Fiji,Niger,4897795
France,Haiti,7362922
French Guiana,India,6646960
Gabon,New Zealand,8171125
Georgia,Kiribati,1986051
Germany,Hungary,7164032
Ghana,Samoa,4329704
Gibraltar,Panama,6716169
Greenland,Iran,524478
Grenada,Greece,7264045
Guadeloupe,Belgium,2750339
Guam,Kazakhstan,1756428
Guatemala,Turkmenistan,8446645
Guinea,Uganda,8971855
Guinea-Bissau,Cook Islands,4559308
Guyana,Israel,4331529
Haiti,Cyprus,594305
Honduras,Kuwait,559230
Hungary,Greenland,4508892
Indonesia,Kyrgyzstan,6262998
Indonesia,United States,7656739
Iran,Monaco,4530155
Iran,United States,2033029
Iraq,United States,8295058
Ireland,Martinique,4525158
Ireland,United States,4968613
Israel,Albania,8436656
Israel,United States,3664110
Italy,Belize,3564075
Italy,United States,8742146
Italy,United Kingdom,2402242
Jamaica,Guatemala,1542672
Japan,Peru,8677066
Japan,United Kingdom,9069980
Jordan,Tanzania,1052852
Kazakhstan,Malawi,9252535
Kazakhstan,Canada,4113422
Kazakhstan,Denmark,2925449
Kenya,Malta,9765272
Kenya,Canada,8891711
Kenya,Spain,3181529
Kenya,Uganda,5739680
Kenya,South Africa,7696291
Kuwait,Guyana,9143085
Kyrgyzstan,Portugal,3090816
Latvia,United Kingdom,760341
Liberia,Congo,3638282
Libya,Taiwan,8756469
Lithuania,Dominican Republic,3999651
Macau,El Salvador,1103525
Macedonia,Morocco,9191714
Madagascar,Malaysia,6141377
Mali,Ireland,4455129
Mexico,United Kingdom,8675175
Moldova,Guam,5619533
Monaco,Anguilla,6608309
Mongolia,Kenya,9720859
Myanmar,Syria,6363326
Namibia,Zimbabwe,8524318
Nepal,Uruguay,7630809
Nigeria,Trinidad and Tobago,3539184
Norway,Cambodia,2928174
Panama,Tajikistan,3870684
Papua New Guinea,French Polynesia,9398428
Paraguay,Macau,3878297
Peru,Lithuania,3247240
Philippines,United Kingdom,1243942
Poland,Argentina,8910563
Qatar,Senegal,5382807
Russian Federation,United Kingdom,9358057
Samoa,Guinea,8224603
Samoa,United States,5104798
Samoa,United States,8235503
Saudi Arabia,Burundi,714972
Senegal,Andorra,5091459
Serbia,Swaziland,3842806
Seychelles,Belarus,6606605
Singapore,Angola,1288447
Slovenia,Libya,8652989
Somalia,South Africa,4007746
South Africa,United States,9928176
South Africa,United States,9986485
South Korea,Serbia,1202919
Spain,Maldives,2864369
Spain,United Kingdom,4032035
Sri Lanka,Jamaica,8552114
Swaziland,Gibraltar,1759921
Sweden,Grenada,7272524
Sweden,United Kingdom,4035177
Switzerland,Nauru,6459349
Syria,Japan,2640093
Taiwan,Honduras,9315216
Tajikistan,Macedonia,9676370
Tanzania,Aruba,9044179
Tanzania,United States,4584727
Thailand,United States,9381986
Thailand,United States,2766965
Thailand,United Kingdom,5119131
The Netherlands,United Kingdom,4307847
Tonga,Brunei Darussalam,4950763
Tonga,United States,4319165
Trinidad and Tobago,Latvia,8777289
Trinidad and Tobago,United States,846917
Trinidad and Tobago,United States,6107302
Turkey,United States,9091332
Turkey,United States,581316
Turkmenistan,Austria,9340993
Turkmenistan,United States,8788649
Turkmenistan,United States,7975208
Tuvalu,United States,2613713
Tuvalu,United States,6763988
Uganda,Egypt,1430741
Uganda,United States,3887628
Ukraine,United States,9996827
Ukraine,United States,5780995
United Arab Emirates,Oman,4810492
United Kingdom,Canada,5319224
United Kingdom,China,2135906
United Kingdom,Italy,1371433
United Kingdom,Spain,4758068
United Kingdom,Japan,1674287
United Kingdom,Thailand,8541160
United Kingdom,Vietnam,5189025
United Kingdom,Sweden,7764572
United Kingdom,Russian Federation,7013358
United Kingdom,Philippines,1884078
United Kingdom,The Netherlands,9521692
United Kingdom,Mexico,5362040
United Kingdom,Egypt,9824171
United Kingdom,Cuba,6227299
United Kingdom,Denmark,2616181
United Kingdom,Bermuda,7930822
United Kingdom,Belgium,9133603
United Kingdom,Australia,9602278
United Kingdom,Argentina,3074360
United Kingdom,United Kingdom,1019145
United States,Nepal,5773309
United States,United States,6984187
United States,Canada,2853366
United States,China,1989494
United States,Spain,9265150
United States,France,9955512
United States,Japan,8990008
United States,Thailand,8356944
United States,Vietnam,2102030
United States,Sweden,5675868
United States,Russian Federation,6194826
United States,Philippines,3385903
United States,The Netherlands,7543915
United States,Hong Kong,3184447
United States,Mexico,925247
United States,Cayman Islands,3865837
United States,Indonesia,7912769
United States,Egypt,5820658
United States,Cuba,9940360
United States,Denmark,178729
United States,Colombia,4255520
United States,Bahamas,3232846
United States,Brazil,3502320
United States,Bermuda,9744680
United States,Belgium,9138708
United States,Australia,3291733
United States,Argentina,472546
United States,United Kingdom,1461681
Uruguay,Liberia,9899235
Uruguay,United States,6901697
Uzbekistan,United States,8282777
Vanuatu,Uzbekistan,7872594
Vanuatu,United States,222802
Venezuela,United States,6031023
Vietnam,Slovenia,2874399
Vietnam,United States,3340953
Vietnam,United Kingdom,7054436
Vietnam,China,1064642
Vietnam,South Korea,9269178
Vietnam,Taiwan,2105837
Yemen,Saudi Arabia,1849953
Yemen,United States,6525619
Zambia,Denmark,3475609
Zambia,United States,294033
Zambia,Canada,2436367
Zambia,South Africa,3646417
Zambia,Australia,7115152
Zimbabwe,United States,4410368
Zimbabwe,South Africa,4154243
Zimbabwe,Canada,2414751
Zimbabwe,Egypt,891805
Zimbabwe,Congo,758716
Zimbabwe,Syria,3940556
